,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
28333,2.18,30786.0,9.1,58.7,2.6,3.4,3.4,14.3,6.7,8.8,0.0,0.5,9.1,8.1,13.3,22.7,10.7,9.6,6.0,20.0,4.9,658.0,82100.0
28334,2.46,70227.0,0.0,85.2,0.8,5.9,3.8,4.2,0.0,0.0,0.0,0.0,6.3,13.5,4.2,22.4,7.2,13.5,6.3,26.6,6.1,636.0,136900.0
28335,2.3,44020.0,4.5,77.6,0.7,6.8,3.0,5.7,1.8,3.9,0.0,0.7,0.0,9.3,9.3,17.0,10.4,9.1,3.2,40.9,5.7,681.0,120900.0
28336,2.24,40958.0,13.2,67.3,3.8,3.9,5.0,4.9,4.3,5.2,0.0,0.5,4.7,11.2,6.1,11.3,11.5,15.4,9.2,30.1,5.3,570.0,101300.0
28337,2.63,77207.0,29.8,55.5,16.5,0.0,13.3,14.7,0.0,0.0,0.0,0.0,18.7,10.1,9.3,20.4,14.7,2.9,4.4,19.4,5.6,952.0,162400.0
28338,2.37,68819.0,6.5,80.8,4.3,4.8,0.1,1.7,2.8,4.6,0.2,0.6,4.4,9.7,8.6,20.8,18.3,19.8,8.1,9.5,6.2,864.0,152800.0
28339,1.85,43125.0,12.2,59.2,2.1,17.2,5.9,2.9,0.0,6.9,0.0,0.0,6.5,10.9,8.0,11.1,8.4,8.8,5.7,40.5,5.2,628.0,134300.0
28340,2.42,41136.0,10.8,69.8,2.9,10.7,0.0,12.0,0.0,0.0,0.0,0.0,6.2,16.1,6.2,10.7,11.2,7.0,7.0,35.5,5.5,575.0,86400.0
28341,2.27,39038.0,0.0,62.6,2.1,13.8,5.0,3.8,0.0,0.0,0.9,0.6,15.6,12.6,8.8,18.8,11.5,7.1,1.2,22.9,5.1,700.0,85000.0
28342,2.52,39327.0,10.2,84.1,0.0,1.9,4.8,0.0,4.3,0.0,0.0,0.0,0.5,2.4,6.3,19.7,6.7,3.8,5.8,54.8,6.5,567.0,82100.0
